RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
13.46933942,0.486305267,0.939426511,,,14.16625539,,
,,,,,,,
15.55280104,-0.222959541,0.892365903,,,,,
,,,,,,,
5.949879957,0.761765517,0.884136343,,,,,
,,,,,,,
8.17491354,0.550267211,0.748179822,,,,,
,,,,,,,
49.19944697,-9.009555834,0.955143965,,,,,
,,,,,,,
8.15972557,0.841131989,0.958425582,,,,,
,,,,,,,
11.5220461,0.735506725,0.952388305,,,,,
,,,,,,,
8.565347071,0.795015553,0.974823503,,,,,
,,,,,,,
8.89115509,0.620177716,0.868894821,,,,,
,,,,,,,
12.17789911,0.635289205,0.899901829,,,,,
