Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
22.5076, 2.48291,1.997375,1.986389,1.976318,1.983032,1.976013,-9.806351,-3.872023
32.4425, 2.208252,1.999817,2.000427,1.99707,1.99646,1.991882,-9.806351,-3.928885
42.4357, 1.494141,2.002563,1.990662,1.982117,1.982727,1.982727,-9.806351,-3.863344
52.464, 2.730103,1.994019,1.989441,1.979065,1.976318,1.977234,-9.806351,-4.016273
62.4751, 1.494141,1.989441,1.992188,1.992493,2.001648,1.998291,-9.806351,-4.030639
72.43681, 1.878662,1.992493,1.984253,1.981201,1.984863,1.979065,-9.806351,-4.036325
82.4517, 1.713867,1.992798,1.998901,1.998291,1.999817,1.993713,-9.806351,-4.136283
112.3376, 1.878662,2.001343,1.987305,1.979675,1.980896,1.982117,-9.806351,-4.047997
122.82, 2.208252,1.98822,1.982727,1.978455,1.989441,1.980286,-9.806351,-4.15394
144.3583, 2.565308,1.99707,1.999512,1.994019,1.989136,1.990356,-9.806351,-4.214992
152.4666, 2.263184,1.990356,1.979675,1.980286,1.985474,1.984253,-9.806351,-4.262876
162.4602, 1.192017,1.988525,1.99585,1.992493,2.001953,1.999207,-9.806351,-4.300585
172.4524, 2.180786,1.991882,1.982727,1.979065,1.989136,1.983643,-9.806351,-4.292804
182.4591, 2.702637,1.99585,1.998901,1.992798,1.992493,1.988831,-9.806351,-4.400543
192.4604, 1.549072,1.994324,1.981506,1.97876,1.98822,1.988831,-9.806351,-4.318542
202.4665, 3.114624,2.000427,1.982727,1.973267,1.980286,1.979675,-9.806351,-4.438251
212.4658, 1.494141,1.993408,2.001343,1.99585,1.99646,1.989746,-9.806351,-4.449624
222.4939, 2.894897,1.99646,1.985474,1.976624,1.976318,1.980591,-9.806351,-4.429573
232.4406, 2.427979,1.989746,1.995239,1.992188,2.003784,1.99585,-9.806351,-4.536114
242.4411, 1.576538,1.988525,1.988831,1.984253,1.992188,1.985779,-9.806351,-4.48434
252.4569, 2.620239,1.99646,1.98761,1.981812,1.986694,1.979065,-9.806351,-4.599261
262.444, 1.713867,2.003784,1.997986,1.994934,1.994019,1.994629,-9.806351,-4.556765
272.4384, 2.290649,1.994934,1.983643,1.976318,1.985474,1.985474,-9.806351,-4.518158
282.7233, 2.373047,2.000122,2.002258,1.993713,1.995239,1.990967,-9.806351,-4.61243
292.436, 1.741333,1.991882,1.994629,1.983643,1.988831,1.982422,-9.806351,-4.546589
302.4852, 3.114624,1.993103,1.980591,1.975098,1.985779,1.982422,-9.806351,-4.650737
312.6498, 0.9448242,1.994019,2.001343,1.997681,1.998596,1.992493,-9.806351,-4.669292
322.4384, 2.180786,1.99707,1.989136,1.979065,1.983337,1.976929,-9.806351,-4.653729
332.4561, 1.741333,1.992798,1.987915,1.989136,1.994019,1.989136,-9.806351,-4.766257
342.8341, 2.922363,1.994934,1.985474,1.975708,1.984253,1.983643,-9.806351,-4.669591
352.4668, 2.015991,1.989441,1.979675,1.977844,1.991272,1.983032,-9.806351,-4.775535
380.2016, 1.988525,1.997681,1.99707,1.993103,1.992188,1.995544,-9.806351,-4.731242
382.4736, 2.015991,1.994629,1.979675,1.976929,1.984558,1.987305,-9.806351,-4.705504
392.4847, 1.329346,1.99707,1.988525,1.985168,1.987,1.982117,-9.806351,-4.712388
402.461, 2.180786,1.988525,1.983032,1.975098,1.98761,1.982727,-9.806351,-4.819528
412.4564, 1.274414,2.000122,2.003174,1.996155,1.994019,1.989746,-9.806351,-4.834791
422.4417, 1.933594,1.996765,1.984558,1.977234,1.983643,1.978149,-9.806351,-4.817134
432.4592, 2.373047,1.99585,1.999817,1.995239,1.999817,1.990967,-9.806351,-4.932055
442.4608, 1.246948,1.99585,1.991272,1.984863,1.990356,1.980591,-9.806351,-4.837784
452.6714, 2.125854,1.994324,1.986084,1.974487,1.984863,1.97876,-9.806351,-4.969166
462.4751, 2.098389,1.999207,2.001648,1.995239,1.996155,1.993713,-9.806351,-4.960786
472.4846, 2.290649,1.992493,1.986694,1.977539,1.976929,1.97937,-9.806351,-4.896741
482.4407, 2.263184,1.996765,1.997986,1.994629,1.995239,1.992188,-9.806351,-5.010466
492.4526, 2.098389,2.000732,1.98822,1.976624,1.985168,1.983948,-9.806351,-4.912603
502.456, 2.620239,1.993713,1.983643,1.972046,1.978455,1.977539,-9.806351,-5.027524
512.4317, 1.027222,1.998291,1.999512,1.991577,1.992188,1.993103,-9.806351,-4.985327
522.4599, 2.290649,1.994324,1.98761,1.978149,1.981812,1.981506,-9.806351,-4.904223
532.8094, 2.290649,1.991577,1.993103,1.989441,1.994019,1.998901,-9.806351,-4.999692
542.451, 1.439209,1.993408,1.985474,1.985474,1.994629,1.98761,-9.806351,-4.832995
552.4702, 2.455444,1.989441,1.977844,1.973572,1.987305,1.981812,-9.806351,-4.879383
562.4508, 1.30188,2.001953,1.997681,1.992188,1.996155,1.994324,-9.806351,-4.936844
572.4498, 2.263184,1.999817,1.987,1.977539,1.97937,1.979065,-9.806351,-4.911106
582.4856, 1.494141,1.998901,1.997681,1.990967,1.990356,1.991272,-9.806351,-5.00867
592.4342, 0.9173584,1.992798,1.986084,1.984253,1.987915,1.984253,-9.806351,-4.914099
602.4337, 1.686401,1.987305,1.984253,1.978149,1.987915,1.979675,-9.806351,-5.035006
628.055, 1.439209,1.992188,1.989746,1.990967,2.000427,2.002869,-9.806351,-5.088876
632.7598, 1.988525,1.995239,1.981506,1.977539,1.985779,1.981201,-9.806351,-5.006875
660.2217, 0.7800293,1.98822,1.984558,1.982727,1.993713,1.989441,-9.806351,-4.941333
662.4429, 1.768799,1.993103,1.981506,1.976318,1.981812,1.97876,-9.806351,-5.057751
672.475, 2.263184,1.997375,1.982727,1.97876,1.981201,1.981506,-9.806351,-4.992808
682.4481, 1.411743,1.985779,1.99585,1.990356,1.997681,1.993103,-9.806351,-5.064036
692.4551, 1.96106,1.998596,1.984558,1.977844,1.983337,1.984253,-9.806351,-4.977845
702.439, 1.878662,1.993103,1.97937,1.976318,1.986084,1.98761,-9.806351,-5.1203
712.4354, 0.4779053,1.994629,1.999512,1.997986,1.997681,1.991272,-9.806351,-5.132271
722.4668, 1.82373,1.993713,1.984253,1.97937,1.983948,1.985779,-9.806351,-5.099051
732.4382, 1.658936,1.998291,1.996155,1.990967,1.993408,1.992798,-9.806351,-5.212177
742.6301, 0.9997559,2.001343,1.991882,1.98761,1.984558,1.979675,-9.806351,-5.138556
752.4542, 1.549072,1.994324,1.985474,1.97876,1.984253,1.980286,-9.806351,-5.292383
762.4249, 1.713867,1.997681,1.998291,1.996155,1.994324,1.990356,-9.806351,-5.334581
772.4351, 2.015991,1.994019,1.981201,1.978149,1.987915,1.987305,-9.806351,-5.287594
782.4382, 1.878662,1.999512,2.000122,1.99707,1.997681,1.991577,-9.806351,-5.403713
792.5248, 1.521606,1.991882,1.982117,1.981201,1.991272,1.986084,-9.806351,-5.31812
802.4726, 2.949829,1.997375,1.981506,1.973267,1.980591,1.978455,-9.806351,-5.428853
812.4634, 1.549072,1.999207,1.999512,1.997375,1.99585,1.989746,-9.806351,-5.473145
822.8376, 2.180786,1.99585,1.985474,1.977844,1.983643,1.984863,-9.806351,-5.410896
832.4363, 2.48291,1.999817,1.987305,1.984253,1.987305,1.987915,-9.806351,-5.502773
842.4252, 1.796265,1.987915,1.982422,1.980896,1.990967,1.98822,-9.806351,-5.445013
868.9137, 2.702637,1.99646,1.983337,1.977844,1.980591,1.97937,-9.806351,-5.57011
872.4572, 1.576538,1.996155,1.993103,1.990662,1.995239,1.994324,-9.806351,-5.564424
882.6694, 2.125854,1.992493,1.993713,1.987915,2.002563,1.993103,-9.806351,-5.626973
892.4662, 2.263184,1.997986,1.98822,1.980286,1.984863,1.985168,-9.806351,-5.515642
