RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
10.47195324,0.719376793,0.863020163,,,26.64014635,,
,,,,,,,
36.66167982,-4.072047596,0.553772043,,,,,
,,,,,,,
7.387251055,0.650054082,0.958825789,,,,,
,,,,,,,
21.76837927,-0.283651616,0.84682851,,,,,
,,,,,,,
17.22891958,-0.523288407,0.751445257,,,,,
,,,,,,,
32.72370422,-1.4364145,0.572479434,,,,,
,,,,,,,
11.87740395,0.1904284,0.89454503,,,,,
,,,,,,,
51.26515059,-14.08192183,0.525658256,,,,,
,,,,,,,
50.88276513,-10.05985208,-0.208231318,,,,,
,,,,,,,
26.13425665,-5.075404815,0.19590238,,,,,
