Per Info No,Data No,Gonio,Echo,Date,Subject,Pattern,Trial Num,Depth,Analysis Num,FP Selection Pattern,FP Num Pattern,FP Detection Pattern,Frame Range Pattern,Lowpass Filter Pattern,Regularization Patten,RMSE,R2,Corrcoef,Updated Date
1,16,202212061614.csv,20221206 161438.mp4,20221204,Katagi,1,1,30,1,1,1,1,3,2,2,9.358622153335354,0.7930787521151839,0.8919346021618502,2022/12/12 00:01
1,16,202212061614.csv,20221206 161438.mp4,20221204,Katagi,1,1,30,1,1,1,1,3,2,2,10.720311206113406,0.7325069137386284,0.8578737286449625,2022/12/12 00:01
1,16,202212061614.csv,20221206 161438.mp4,20221204,Katagi,1,1,30,1,1,1,1,3,2,2,10.720311206113406,0.7325069137386284,0.8578737286449625,2022/12/12 00:01
2,17,202212061617.csv,20221206 161753.mp4,20221204,Katagi,1,2,30,1,1,1,1,3,2,2,15.13336526948733,0.4618604303084119,0.7603725403315122,2022/12/12 00:27
3,18,202212061621.csv,20221206 162112.mp4,20221204,Katagi,1,3,30,1,1,1,1,3,2,2,11.015587960193177,0.7225292727805392,0.8541028797303519,2022/12/12 00:45
4,19,202212061624.csv,20221206 162430.mp4,20221204,Katagi,1,4,30,1,1,1,1,3,2,2,17.416100523978027,0.2534964867220902,0.7288864043029389,2022/12/12 01:30
5,20,202212061627.csv,20221206 162753.mp4,20221204,Katagi,1,5,30,1,1,1,1,3,2,2,13.6709664605104,0.5603140097577237,0.7875701128541457,2022/12/12 02:08
