RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
8.206284122,0.576116257,0.937542379,,,23.05893414,,
,,,,,,,
9.530929957,0.663313734,0.880281426,,,,,
,,,,,,,
27.23679503,-1.933095674,0.950232323,,,,,
,,,,,,,
36.40684319,-3.508040271,0.910576093,,,,,
,,,,,,,
52.90285199,-8.975834264,0.098586033,,,,,
,,,,,,,
10.7456855,-0.066244916,0.897816746,,,,,
,,,,,,,
45.35978457,-5.019934689,-0.663271549,,,,,
,,,,,,,
10.33077879,0.590424667,0.879465644,,,,,
,,,,,,,
9.806547269,0.680260413,0.930635149,,,,,
,,,,,,,
20.06284095,-0.291523765,0.344820759,,,,,
