RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
11.96037719,-0.556366919,0.436586867,,,13.81616714,,
,,,,,,,
18.02403204,-1.845409498,0.701503323,,,,,
,,,,,,,
8.720147997,0.781748873,0.906700439,,,,,
,,,,,,,
10.69896483,-0.278243025,0.830523868,,,,,
,,,,,,,
6.602888625,0.874109731,0.961837329,,,,,
,,,,,,,
47.18478047,-7.584975002,0.643625672,,,,,
,,,,,,,
5.571109249,0.719575683,0.965861327,,,,,
,,,,,,,
11.19276542,-0.529508236,0.826887203,,,,,
,,,,,,,
5.802847358,0.897483975,0.969558768,,,,,
,,,,,,,
12.40375822,0.233973346,0.96582405,,,,,
