RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
10.68377515,0.588490885,0.921992622,,,13.62695228,-0.472948248,0.836588988
,,,,,,,
8.394019144,0.757982011,0.968202337,,,,,
,,,,,,,
7.708401938,0.878205149,0.950638834,,,,,
,,,,,,,
7.342050046,0.660900454,0.868172953,,,,,
,,,,,,,
39.24488088,-8.688544948,0.005647839,,,,,
,,,,,,,
6.61658844,0.518453028,0.803920924,,,,,
,,,,,,,
4.423900465,0.910747388,0.977996742,,,,,
,,,,,,,
14.48528178,-0.161259143,0.920745552,,,,,
,,,,,,,
18.77682793,-0.379350849,0.980260215,,,,,
,,,,,,,
18.593797,0.184893544,0.968311862,,,,,
