Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
23.2142, -46.9281,1.981812,1.986084,1.986084,1.989136,1.987,-9.806351,-1.974019
33.0559, -46.81824,1.983643,1.987,1.988525,1.985474,1.98761,-9.806351,-1.950676
43.3746, -46.18652,1.984863,1.987305,1.989746,1.987915,1.988831,-9.806351,-2.055422
53.0313, -47.8894,1.97937,1.986389,1.989441,1.989746,1.991272,-9.806351,-1.981202
63.0262, -46.29639,1.983643,1.991272,1.993103,1.986694,1.983948,-9.806351,-2.000655
73.1619, -47.55981,1.97876,1.985474,1.985474,1.984863,1.983032,-9.806351,-2.00664
83.0323, -47.28516,1.978455,1.984558,1.987305,1.98761,1.986694,-9.806351,-1.984195
93.0138, -47.0105,1.980286,1.990051,1.994934,1.991577,1.987305,-9.806351,-2.093729
103.2084, -48.10913,1.983337,1.993713,1.994629,1.988831,1.986389,-9.806351,-2.021305
113.0587, -47.03796,1.983032,1.98822,1.992188,1.98761,1.984253,-9.806351,-2.032977
123.028, -47.53235,1.986389,1.983032,1.986084,1.97876,1.983032,-9.806351,-2.038363
133.0229, -47.42249,1.988525,1.991577,1.991272,1.984863,1.980286,-9.806351,-2.004246
143.0357, -46.59851,1.984253,1.985779,1.991577,1.983032,1.984558,-9.806351,-2.106898
153.0277, -48.08167,1.983948,1.98761,1.98761,1.985168,1.989136,-9.806351,-2.029086
163.0172, -47.0929,1.982727,1.98761,1.992493,1.989441,1.986389,-9.806351,-2.043751
173.0464, -47.99927,1.989441,1.988831,1.986084,1.976929,1.982117,-9.806351,-2.041656
183.0338, -47.8894,1.983032,1.985779,1.987305,1.985474,1.981506,-9.806351,-2.005743
193.0568, -47.39502,1.986389,1.993408,1.994019,1.983032,1.981506,-9.806351,-2.106898
203.2415, -48.85071,1.977234,1.980591,1.988525,1.990967,1.990356,-9.806351,-2.031181
213.0922, -48.1366,1.979675,1.986084,1.991577,1.990662,1.990051,-9.806351,-2.050334
223.0202, -49.50989,1.980591,1.986389,1.990967,1.986694,1.985474,-9.806351,-2.054524
233.0213, -49.0979,1.977844,1.986389,1.988525,1.990967,1.985474,-9.806351,-2.026692
243.0194, -48.93311,1.984863,1.987915,1.987305,1.981506,1.985779,-9.806351,-2.113182
253.0081, -50.52612,1.986084,1.989136,1.994019,1.986389,1.985168,-9.806351,-2.061108
