Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
21.646, -58.51868,1.978149,1.979065,1.980286,1.980286,1.982422,-9.806351,-2.003947
31.6328, -57.96936,1.978149,1.980896,1.987305,1.983643,1.97937,-9.806351,-1.96953
41.8409, -57.25525,1.978149,1.983643,1.987305,1.980286,1.980896,-9.806351,-2.050035
51.6281, -58.02429,1.986694,1.988831,1.991272,1.97937,1.981506,-9.806351,-2.029086
61.6172, -56.95313,1.980896,1.983643,1.989746,1.985474,1.98822,-9.806351,-2.065298
71.624, -58.21655,1.971741,1.977539,1.980591,1.983948,1.983032,-9.806351,-2.035969
81.6305, -57.63977,1.97937,1.982727,1.989746,1.983643,1.976929,-9.806351,-2.003648
91.62251, -57.44751,1.986389,1.985779,1.988525,1.976929,1.976318,-9.806351,-2.081758
101.668, -58.40881,1.975098,1.983643,1.988525,1.983337,1.983948,-9.806351,-2.04794
111.7628, -57.33765,1.979675,1.991577,1.991272,1.982422,1.980286,-9.806351,-2.083554
121.6385, -58.27148,1.978149,1.985779,1.987305,1.976929,1.974182,-9.806351,-2.057517
131.6439, -57.52991,1.980591,1.980896,1.981506,1.978455,1.981201,-9.806351,-2.028487
141.8895, -57.28271,1.974792,1.980591,1.982422,1.980591,1.985474,-9.806351,-2.108394
151.6293, -58.27148,1.978455,1.985168,1.989136,1.982422,1.983032,-9.806351,-2.073977
161.6471, -57.14539,1.975708,1.985474,1.988831,1.980896,1.983337,-9.806351,-2.113781
171.6294, -59.42505,1.974487,1.981201,1.987305,1.985779,1.980286,-9.806351,-2.08535
181.6475, -57.6123,1.978455,1.973877,1.983643,1.977844,1.984863,-9.806351,-2.03986
191.9254, -57.55737,1.977539,1.981506,1.987305,1.982117,1.985779,-9.806351,-2.11408
201.6328, -58.29895,1.982117,1.97998,1.985474,1.982422,1.985474,-9.806351,-2.078466
211.6491, -57.58484,1.973572,1.987305,1.995239,1.986389,1.986389,-9.806351,-2.12635
221.7446, -58.35388,1.97998,1.982422,1.984863,1.976929,1.978149,-9.806351,-2.092532
231.646, -57.83203,1.977844,1.981506,1.985779,1.979675,1.982422,-9.806351,-2.068291
241.6823, -57.52991,1.981506,1.984253,1.986694,1.981506,1.978455,-9.806351,-2.142811
251.9388, -58.27148,1.97876,1.971741,1.973572,1.975098,1.978455,-9.806351,-2.103606
262.0547, -57.33765,1.976624,1.985474,1.989136,1.986694,1.982422,-9.806351,-2.171242
