Time,Gonio
0.0,-49.0155
10.0,-49.0155
20.0,-49.0155
30.0,-49.04297
40.0,-48.65845
50.0,-49.70215
60.0,-48.0542
70.0,-49.37256
80.0,-48.82324
90.0,-48.21899
100.0,-49.0155
110.0,-49.81201
120.0,-47.91687
130.0,-48.65845
140.0,-48.49365
150.0,-49.61975
160.0,-48.10913
170.0,-48.74084
180.0,-48.32886
190.0,-48.38379
200.0,-49.20776
210.0,-48.54858
220.0,-49.2627
230.0,-49.40002
240.0,-49.34509
250.0,-50.03174
260.0,-49.75708
270.0,-50.36133
280.0,-49.97681
290.0,-50.16907
300.0,-51.45996
310.0,-50.99304
320.0,-51.76208
330.0,-51.13037
340.0,-51.67969
350.0,-53.3551
360.0,-52.36633
370.0,-53.3551
380.0,-53.82202
390.0,-53.90442
400.0,-55.27771
410.0,-54.28894
420.0,-54.92065
430.0,-54.646
440.0,-53.90442
450.0,-54.97559
460.0,-54.01428
470.0,-54.646
480.0,-53.98682
490.0,-53.16284
500.0,-54.23401
510.0,-54.06921
520.0,-54.15161
530.0,-53.05298
540.0,-52.4762
550.0,-53.5199
560.0,-51.59729
570.0,-52.17407
580.0,-52.03674
590.0,-50.91064
600.0,-51.87195
610.0,-50.74585
620.0,-50.60852
630.0,-50.44373
640.0,-49.97681
650.0,-50.49866
660.0,-48.87817
670.0,-49.04297
680.0,-47.75208
690.0,-46.40625
700.0,-46.29639
710.0,-44.78577
720.0,-44.89563
730.0,-44.04419
740.0,-42.86316
750.0,-43.00049
760.0,-41.57227
770.0,-42.45117
780.0,-41.76453
790.0,-41.76453
800.0,-43.11035
810.0,-42.17651
820.0,-43.08289
830.0,-43.13782
840.0,-43.00049
850.0,-43.46741
860.0,-43.46741
870.0,-43.98926
880.0,-44.42871
890.0,-44.89563
900.0,-45.52734
910.0,-45.36255
920.0,-45.93933
930.0,-45.9668
940.0,-45.93933
950.0,-47.25769
960.0,-46.21399
970.0,-47.39502
980.0,-46.9281
990.0,-46.62598
1000.0,-47.39502
1010.0,-47.03796
1020.0,-46.65344
1030.0,-46.9281
1040.0,-45.85693
1050.0,-46.98303
1060.0,-45.17029
1070.0,-45.14282
1080.0,-44.70337
1090.0,-43.98926
1100.0,-44.07166
1110.0,-42.23145
1120.0,-41.95679
1130.0,-40.72083
1140.0,-39.23767
1150.0,-39.86938
1160.0,-38.19397
1170.0,-37.89185
1180.0,-37.34253
1190.0,-36.65588
1200.0,-36.71082
1210.0,-35.28259
1220.0,-35.33752
1230.0,-35.06287
1240.0,-33.38745
1250.0,-33.88184
1260.0,-32.15149
1270.0,-32.06909
1280.0,-30.8606
1290.0,-29.59717
1300.0,-29.6521
1310.0,-28.33374
1320.0,-28.41614
1330.0,-27.78442
1340.0,-26.76819
1350.0,-27.04285
1360.0,-25.86182
1370.0,-25.64209
1380.0,-25.75195
1390.0,-24.29626
1400.0,-24.87305
1410.0,-23.80188
1420.0,-23.3075
1430.0,-23.36243
1440.0,-22.0166
1450.0,-22.51099
1460.0,-21.32996
1470.0,-22.07153
1480.0,-21.11023
1490.0,-20.78064
1500.0,-20.8905
1510.0,-19.8468
1520.0,-19.95667
1530.0,-19.81934
1540.0,-20.20386
1550.0,-21.35742
1560.0,-20.61584
1570.0,-21.76941
1580.0,-22.20886
1590.0,-22.59338
1600.0,-24.24133
1610.0,-24.29626
1620.0,-26.05408
1630.0,-27.4823
1640.0,-28.74573
1650.0,-31.27258
1660.0,-31.40991
1670.0,-33.55225
1680.0,-35.09033
1690.0,-36.49109
1700.0,-38.38623
1710.0,-37.94678
1720.0,-40.08911
1730.0,-40.39124
1740.0,-40.44617
1750.0,-41.98425
1760.0,-41.65466
1770.0,-42.7533
1780.0,-43.00049
1790.0,-42.69836
1800.0,-44.12659
1810.0,-43.35754
1820.0,-44.01672
1830.0,-44.78577
1840.0,-44.09912
1850.0,-44.70337
1860.0,-44.04419
1870.0,-44.62097
1880.0,-45.08789
1890.0,-44.56604
1900.0,-45.36255
1910.0,-44.37378
1920.0,-44.56604
1930.0,-44.59351
1940.0,-44.9231
1950.0,-45.41748
1960.0,-45.00549
1970.0,-45.36255
1980.0,-45.52734
1990.0,-45.74707
2000.0,-45.93933
2010.0,-45.36255
2020.0,-45.63721
