Per Info No,Data No,Gonio,Echo,Date,Subject,Pattern,Trial Num,Depth,Analysis Num,FP Selection Pattern,FP Detection Pattern,Frame Range Pattern,Lowpass Filter Pattern,Regularization Patten,RMSE,R2,Corrcoef,Updated Date
29,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,4.0,1.0,1.0,3.0,2.0,2.0,8.321631527053004,0.7831361866985005,0.9415381768093458,2022/12/06 11:42
30,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,4.0,1.0,1.0,3.0,2.0,2.0,13.340447381213648,0.4529786008191125,0.8732713944368283,2022/12/06 11:42
31,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,7.688190679569414,0.8198405735066845,0.9279637886289858,2022/12/06 13:09
32,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,6.137655714960798,0.882057893948765,0.949304486191414,2022/12/06 13:09
33,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,11.866599348224858,0.5814806996524987,0.7955330364029642,2022/12/06 13:09
34,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,7.534545090461783,0.8222194690059179,0.9707599499451708,2022/12/06 13:09
35,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,5.0,2.0,1.0,3.0,2.0,2.0,4.796974044243273,0.9292708783585438,0.9639907236808593,2022/12/06 13:09
36,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,7.259928317601658,0.8393527247234506,0.9311144976920606,2022/12/06 13:50
37,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,10.700502743229166,0.6415140023685704,0.9209621762481012,2022/12/06 13:50
38,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,12.464006948735168,0.5382804151982201,0.7644764901683849,2022/12/06 13:50
39,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,8.845959647452128,0.754946993952189,0.9158665932379906,2022/12/06 13:50
40,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,6.0,2.0,1.0,3.0,2.0,2.0,4.87410864620638,0.9269779638250188,0.9634894303919512,2022/12/06 13:50
41,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,6.15171425929349,0.8846544064620767,0.9739988202592976,2022/12/06 14:38
42,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,8.922486532388495,0.7507497321151158,0.9520556653952544,2022/12/06 14:38
43,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,12.341409016372689,0.547318836719934,0.8026652512698702,2022/12/06 14:38
44,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,5.420430070658459,0.9079894517747644,0.9582737576259478,2022/12/06 14:38
45,15.0,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,7.0,1.0,1.0,1.0,2.0,2.0,10.850549596212154,0.6381179845191773,0.8435716977419574,2022/12/06 14:38
46,11.0,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,7.358158081170075,0.8349760696415642,0.9272501744512808,2022/12/06 15:11
47,12.0,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,7.3495529556026495,0.8308836181932229,0.9193539019944252,2022/12/06 15:11
48,13.0,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,9.817592682705738,0.7135340874448682,0.9124863757770884,2022/12/06 15:11
49,14.0,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,9.01579281425508,0.7454471449869648,0.889065343902083,2022/12/06 15:11
50,15.0,202211081404.csv,20221108 140434.mp4,20221108,Katagi,1.0,10.0,30.0,8.0,1.0,1.0,2.0,2.0,2.0,9.458311370557343,0.7250265632676884,0.8625601544683457,2022/12/06 15:11
