Per Info No,Data No,Gonio,Echo,Date,Subject,Pattern,Trial Num,Depth,Analysis Num,FP Selection Pattern,FP Detection Pattern,Frame Range Pattern,Lowpass Filter Pattern,Regularization Patten,RMSE,R2,Corrcoef,Updated Date
1.0,1.0,202210211613.csv,20221021 161310.mp4,20221021.0,Katagi,3.0,1.0,20.0,1.0,1.0,1.0,3.0,1.0,2.0,16.08950425,0.239278598,0.490837356,2022/12/5 17:31
2.0,2.0,202210211616.csv,20221021 161620.mp4,20221021.0,Katagi,3.0,2.0,20.0,1.0,1.0,1.0,3.0,1.0,2.0,11.857474482984268,0.2728271772864268,0.5250237219210626,2022/12/05 18:52
3.0,3.0,202210211619.csv,20221021 161915.mp4,20221021.0,Katagi,3.0,3.0,20.0,1.0,1.0,1.0,3.0,1.0,2.0,13.898147427984377,0.3580443618883294,0.6580136383858058,2022/12/05 19:10
4.0,4.0,202210211622.csv,20221021 162244.mp4,20221021.0,Katagi,3.0,4.0,20.0,1.0,1.0,1.0,3.0,1.0,2.0,7.428311824459728,0.6966051737526848,0.8347705054577862,2022/12/05 19:21
5.0,5.0,202210211626.csv,20221021 162613.mp4,20221021,Katagi,3.0,5.0,20.0,1.0,1.0,1.0,3.0,1.0,2.0,14.579082158486736,0.10203359598472228,0.5099731386391846,2022/12/05 19:30
