DataTypeVer2.0,Time,RawData
NumberOfData,,36000
PreTriggerData,,0
SamplingTime[ms],,1.00000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,0,-5.48496
,0.001,-4.33138
,0.002,-3.46895
,0.003,-6.01231
,0.004,-3.68319
,0.005,-1.44746
,0.006,-4.27096
,0.007,-4.34786
,0.008,-4.43027
,0.009,-3.97982
,0.01,-4.5621
,0.011,-5.08396
,0.012,-5.79257
,0.013,-5.22679
,0.014,-1.48591
,0.015,-5.0455
,0.016,-4.66647
,0.017,-3.82601
,0.018,-3.62825
,0.019,-3.1888
,0.02,-4.82028
,0.021,-6.1002
,0.022,-4.44675
,0.023,-4.08968
,0.024,-5.9354
,0.025,-4.02926
,0.026,-5.03451
,0.027,-4.65548
,0.028,-5.25974
,0.029,-4.71591
,0.03,-6.46824
,0.031,-5.27073
,0.032,-5.19382
,0.033,-5.23227
,0.034,-8.80835
,0.035,-4.19956
,0.036,-3.72714
,0.037,-4.55112
,0.038,-5.00156
,0.039,-5.18283
,0.04,-4.34237
,0.041,-5.08944
,0.042,-5.59483
,0.043,-6.88023
,0.044,-3.96883
,0.045,-5.25425
,0.046,-4.8038
,0.047,-4.0018
,0.048,-5.12241
,0.049,-4.25449
,0.05,-4.7269
,0.051,-4.82578
,0.052,-5.9354
,0.053,-3.85348
,0.054,-5.57285
,0.055,-5.35312
,0.056,-5.6937
,0.057,-4.46322
,0.058,-4.52364
,0.059,-4.18857
,0.06,-4.66098
,0.061,-5.05649
,0.062,-3.89742
,0.063,-2.58455
,0.064,-4.55661
,0.065,-4.0018
,0.066,-5.33115
,0.067,-4.78732
,0.068,-5.24875
,0.069,-4.06772
,0.07,-4.43027
,0.071,-4.77085
,0.072,-2.73835
,0.073,-5.47946
,0.074,-4.31491
,0.075,-4.12265
,0.076,-4.08419
,0.077,-4.87522
,0.078,-4.37534
,0.079,-4.5621
,0.08,-4.2435
,0.081,-4.30942
,0.082,-4.22702
,0.083,-5.50144
,0.084,-4.83126
,0.085,-3.96883
,0.086,-4.77085
,0.087,-4.20504
,0.088,-5.07847
,0.089,-4.54013
,0.09,-4.30392
,0.091,-4.35336
,0.092,-7.01207
,0.093,-4.17208
,0.094,-4.99606
,0.095,-4.36435
,0.096,-5.60031
,0.097,-4.33688
,0.098,-5.17734
,0.099,-4.66098
,0.1,-3.54037
,0.101,-6.02879
,0.102,-4.23251
,0.103,-3.11738
,0.104,-4.51267
,0.105,-4.25449
,0.106,-5.00156
,0.107,-4.86972
,0.108,-3.42501
,0.109,-3.9963
,0.11,-4.57859
,0.111,-3.6722
,0.112,-1.95833
,0.113,-4.52364
,0.114,-4.58956
,0.115,-3.60079
,0.116,-4.74887
,0.117,-4.04574
,0.118,-5.2158
,0.119,-4.1556
,0.12,-5.95738
,0.121,-3.60079
,0.122,-4.95762
,0.123,-9.36317
,0.124,-5.31467
,0.125,-5.0455
,0.126,-5.3696
,0.127,-4.44125
,0.128,-3.89193
,0.129,-5.01255
,0.13,-4.73788
,0.131,-4.02926
,0.132,-6.69346
,0.133,-3.8315
,0.134,-4.7269
,0.135,-4.74887
,0.136,-4.25449
,0.137,-4.20504
,0.138,-4.73239
,0.139,-3.96883
,0.14,-3.72714
,0.141,-5.38608
,0.142,-4.46322
,0.143,-4.55112
,0.144,-5.26523
,0.145,-4.19956
,0.146,-4.38083
,0.147,-4.35336
,0.148,-4.30942
,0.149,-5.051
,0.15,-4.86423
,0.151,-2.38679
,0.152,-2.41425
,0.153,-4.03475
,0.154,-4.7214
,0.155,-4.05673
,0.156,-3.99081
,0.157,-5.22679
,0.158,-5.1334
,0.159,-4.8038
,0.16,-4.36435
,0.161,-2.09015
,0.162,-4.7214
,0.163,-4.24899
,0.164,-5.03451
,0.165,-5.35861
,0.166,-3.76558
,0.167,-3.82051
,0.168,-4.03475
,0.169,-3.90292
,0.17,-3.90292
,0.171,-5.76511
,0.172,-5.63877
,0.173,-5.44651
,0.174,-4.36984
,0.175,-4.45223
,0.176,-4.66098
,0.177,-4.8038
,0.178,-3.10091
,0.179,-4.55661
,0.18,-4.0018
,0.181,-7.83055
,0.182,-3.89193
,0.183,-3.68869
,0.184,-4.86972
,0.185,-4.52914
,0.186,-4.58407
,0.187,-4.35885
,0.188,-5.99033
,0.189,-5.452
,0.19,-6.4298
,0.191,-4.04025
,0.192,-4.96859
,0.193,-6.04526
,0.194,-4.59506
,0.195,-4.5621
,0.196,-5.16635
,0.197,-4.81479
,0.198,-4.30392
,0.199,-5.0455
,0.2,-4.12814
,0.201,-0.43122
,0.202,-3.5953
,0.203,-4.97409
,0.204,-5.50144
