Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
23.9905, 1.274414,1.975708,1.970215,1.974182,1.969299,1.973267,-9.806351,-2.115277
33.3267, 1.30188,1.973572,1.976013,1.985168,1.977234,1.972961,-9.806351,-2.181118
43.9242, 0.4229736,1.975098,1.977234,1.987,1.974182,1.966248,-9.806351,-2.139219
53.6696, 1.63147,1.970215,1.975708,1.981812,1.976624,1.980286,-9.806351,-2.197877
63.3002, 1.192017,1.975708,1.976624,1.976624,1.970215,1.969299,-9.806351,-2.184709
73.4452, 1.164551,1.973572,1.976318,1.981506,1.972961,1.968079,-9.806351,-2.154782
83.6333, 1.219482,1.970215,1.967773,1.977844,1.972351,1.979065,-9.806351,-2.23798
93.3289, 0.5053711,1.970825,1.972046,1.983948,1.97876,1.973572,-9.806351,-2.176329
103.2989, 1.356812,1.982422,1.977234,1.983643,1.96991,1.970825,-9.806351,-2.236184
113.2958, 1.246948,1.97937,1.975708,1.977844,1.96106,1.968689,-9.806351,-2.212542
123.4668, 1.30188,1.964111,1.965942,1.982422,1.981201,1.978149,-9.806351,-2.195483
133.2926, 1.137085,1.976013,1.975098,1.982422,1.974487,1.967773,-9.806351,-2.29993
143.2867, 1.521606,1.972046,1.96991,1.985474,1.975098,1.975098,-9.806351,-2.254141
153.2849, 1.63147,1.97937,1.976929,1.982117,1.97052,1.973267,-9.806351,-2.308609
163.473, 0.4229736,1.968994,1.973572,1.982422,1.973572,1.970825,-9.806351,-2.27928
173.2963, 1.63147,1.96991,1.970215,1.974487,1.972656,1.979065,-9.806351,-2.257134
183.2831, 1.027222,1.968994,1.970215,1.978455,1.97937,1.974487,-9.806351,-2.329858
193.2884, 1.082153,1.967163,1.966248,1.978149,1.976318,1.97876,-9.806351,-2.274791
203.2716, 1.933594,1.979065,1.975098,1.980591,1.968079,1.971436,-9.806351,-2.329858
213.5383, 0.9997559,1.967163,1.970215,1.979675,1.977539,1.975098,-9.806351,-2.285565
223.2717, 0.8349609,1.978455,1.974792,1.979675,1.967773,1.966858,-9.806351,-2.2709
233.2985, 1.054688,1.967468,1.968079,1.976624,1.981812,1.975708,-9.806351,-2.334646
243.346, 0.6427002,1.97052,1.968689,1.975098,1.972351,1.976013,-9.806351,-2.268207
253.2896, 1.82373,1.971436,1.966858,1.979065,1.974792,1.983032,-9.806351,-2.334646
263.2886, 1.192017,1.977539,1.96991,1.970215,1.968689,1.975708,-9.806351,-2.313996
273.2781, 2.318115,1.974182,1.973572,1.976318,1.971741,1.974182,-9.806351,-2.294543
283.524, 1.411743,1.968689,1.968079,1.974487,1.975098,1.97937,-9.806351,-2.3538
293.2914, 1.192017,1.968994,1.965027,1.977539,1.979065,1.981812,-9.806351,-2.284667
