Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
23.7686, 0.8074951,1.972656,1.974182,1.980286,1.970215,1.968689,-9.806351,-2.176928
33.9981, 0.5603027,1.97113,1.979065,1.986694,1.975403,1.969604,-9.806351,-2.203264
43.7577, 0.2581787,1.973877,1.968994,1.971741,1.969299,1.972961,-9.806351,-2.203264
53.8289, 0.6976318,1.965332,1.963196,1.976318,1.976624,1.979675,-9.806351,-2.141913
63.3292, 1.356812,1.977844,1.970825,1.97998,1.967773,1.975403,-9.806351,-2.218228
73.567, 0.8349609,1.971741,1.968994,1.978149,1.972961,1.974792,-9.806351,-2.171242
83.6481, 0.97229,1.978455,1.976318,1.97937,1.967468,1.970215,-9.806351,-2.194286
108.5871, 1.219482,1.979065,1.963501,1.972656,1.966248,1.976318,-9.806351,-2.196381
113.3346, 0.8624268,1.974792,1.975098,1.979065,1.970215,1.968689,-9.806351,-2.144906
123.36, 0.3955078,1.969604,1.96991,1.981506,1.975098,1.974487,-9.806351,-2.158672
133.9481, 1.109619,1.976318,1.968689,1.97937,1.973877,1.976624,-9.806351,-2.200571
143.9041, 0.01098633,1.969604,1.973877,1.980286,1.975708,1.976318,-9.806351,-2.192191
153.5186, 0.1757813,1.968994,1.975098,1.982727,1.97876,1.976624,-9.806351,-2.145803
163.7109, 0.670166,1.973877,1.976624,1.987305,1.972656,1.968079,-9.806351,-2.20506
173.3288, 0.5877686,1.982117,1.97876,1.983948,1.96991,1.969604,-9.806351,-2.151789
183.6657, 0.8074951,1.966858,1.967773,1.97998,1.980896,1.976318,-9.806351,-2.179921
193.6012, 0.6427002,1.980896,1.975098,1.976318,1.965332,1.964722,-9.806351,-2.16765
203.3012, 0.4504395,1.968994,1.974487,1.986389,1.978149,1.973267,-9.806351,-2.118869
229.8634, 1.054688,1.967163,1.966858,1.983948,1.976929,1.982117,-9.806351,-2.206856
233.3525, 0.2856445,1.967773,1.970825,1.982422,1.976318,1.973572,-9.806351,-2.136226
243.3964, 0.7525635,1.978149,1.978455,1.982422,1.971741,1.964722,-9.806351,-2.16795
253.5679, 1.054688,1.967468,1.966553,1.97998,1.975708,1.979065,-9.806351,-2.108693
263.4003, 1.246948,1.977844,1.978455,1.980591,1.968994,1.97113,-9.806351,-2.170942
273.9018, 0.06591797,1.974182,1.976624,1.983337,1.977539,1.96991,-9.806351,-2.127548
283.9084, 1.137085,1.975403,1.863708,1.86615,1.852112,1.896362,-9.806351,-2.136825
293.3961, 0.8898926,1.970825,1.97052,1.972351,1.973877,1.975098,-9.806351,-2.138321
303.3262, 1.494141,1.973877,1.972961,1.975708,1.97052,1.980286,-9.806351,-2.09762
313.64, 1.027222,1.974487,1.975403,1.981201,1.971436,1.97052,-9.806351,-2.179921
323.3145, 0.368042,1.977844,1.971741,1.97876,1.970215,1.973877,-9.806351,-2.103306
333.4225, 1.054688,1.967773,1.970825,1.97998,1.980286,1.975708,-9.806351,-2.127248
343.5654, 0.5328369,1.975098,1.975098,1.976624,1.972961,1.96991,-9.806351,-2.112883
353.3872, 0.8349609,1.972961,1.972961,1.977844,1.975403,1.968994,-9.806351,-2.075174
363.3466, 0.5603027,1.963501,1.970825,1.981201,1.979675,1.977539,-9.806351,-2.155979
373.4665, 0.6976318,1.973877,1.972046,1.973877,1.968994,1.974487,-9.806351,-2.125453
383.3353, 1.63147,1.977539,1.972656,1.973877,1.969604,1.973267,-9.806351,-2.141314
393.323, 0.2032471,1.968079,1.973877,1.97998,1.97876,1.972351,-9.806351,-2.125752
403.3402, 0.7800293,1.974182,1.972656,1.974792,1.97113,1.973877,-9.806351,-2.085948
413.5222, 1.082153,1.965637,1.974487,1.981812,1.981506,1.979675,-9.806351,-2.155979
423.3057, 0.7525635,1.968384,1.971436,1.975403,1.975403,1.975403,-9.806351,-2.106
433.4808, 1.439209,1.977844,1.974182,1.976624,1.966553,1.973572,-9.806351,-2.132635
443.7532, 0.8624268,1.975098,1.970215,1.973877,1.968689,1.973572,-9.806351,-2.120664
470.2496, 0.8624268,1.977844,1.976013,1.97876,1.972656,1.968994,-9.806351,-2.073977
473.3058, 0.6427002,1.96991,1.974487,1.985168,1.97876,1.972351,-9.806351,-2.16376
483.7545, 0.6427002,1.96991,1.968994,1.97998,1.977844,1.983032,-9.806351,-2.133234
493.8293, 0.7525635,1.970825,1.967163,1.974182,1.975098,1.972351,-9.806351,-2.117671
503.3406, 0.97229,1.972656,1.968994,1.96991,1.973267,1.978149,-9.806351,-2.059612
513.6524, 0.6152344,1.969299,1.974487,1.983032,1.975403,1.975098,-9.806351,-2.146103
523.8534, 0.5328369,1.967773,1.972961,1.975098,1.975708,1.976929,-9.806351,-2.080561
533.3871, 0.9173584,1.966248,1.970825,1.97937,1.977539,1.978455,-9.806351,-2.102109
543.3304, 0.1483154,1.976318,1.975403,1.978455,1.970215,1.967163,-9.806351,-2.091036
553.7381, 0.6427002,1.969604,1.970215,1.976624,1.970215,1.974182,-9.806351,-2.046444
563.3014, 0.6152344,1.969604,1.970215,1.983032,1.973267,1.97998,-9.806351,-2.121861
573.5017, -0.04394531,1.971436,1.975708,1.982422,1.975403,1.971741,-9.806351,-2.085948
583.3126, 0.9997559,1.970825,1.974182,1.983948,1.968994,1.97052,-9.806351,-2.108693
593.6518, 1.027222,1.968994,1.965332,1.969299,1.970825,1.978149,-9.806351,-2.098817
603.3019, 0.8624268,1.973877,1.975403,1.978149,1.970215,1.972961,-9.806351,-2.038363
613.3045, 0.8349609,1.981201,1.976624,1.978455,1.969299,1.968994,-9.806351,-2.117073
623.3615, 0.5603027,1.972656,1.974182,1.97998,1.972656,1.972656,-9.806351,-2.074276
646.6501, 0.5328369,1.968689,1.974182,1.985474,1.975098,1.974182,-9.806351,-2.072182
668.4559, 0.06591797,1.97113,1.97876,1.984253,1.978149,1.97113,-9.806351,-2.02729
673.3722, 1.109619,1.975403,1.972656,1.976013,1.968079,1.975403,-9.806351,-2.075773
683.8198, 1.137085,1.973877,1.973267,1.974182,1.97052,1.975098,-9.806351,-2.057816
693.4926, 0.7250977,1.966858,1.965942,1.974792,1.97998,1.975708,-9.806351,-2.049437
703.7572, 0.7250977,1.972351,1.974487,1.980591,1.972656,1.972961,-9.806351,-1.987786
713.4745, 0.4229736,1.974487,1.97876,1.983643,1.972046,1.966858,-9.806351,-2.084751
723.8092, -0.2362061,1.970825,1.972656,1.986084,1.977234,1.97052,-9.806351,-2.027889
733.6027, 1.878662,1.975098,1.972656,1.973877,1.968689,1.974487,-9.806351,-2.038962
743.408, -0.01647949,1.965637,1.972351,1.978149,1.977844,1.974182,-9.806351,-2.042254
753.6319, 0.9997559,1.977844,1.972656,1.977234,1.968994,1.972046,-9.806351,-1.987786
763.5072, 1.164551,1.968079,1.964417,1.980591,1.97937,1.980591,-9.806351,-2.057218
773.304, 0.9997559,1.979065,1.977844,1.97937,1.968384,1.968079,-9.806351,-2.013524
783.7456, 1.219482,1.973877,1.977844,1.982117,1.972046,1.971741,-9.806351,-2.023699
793.6213, 1.054688,1.970215,1.966248,1.973267,1.969299,1.971741,-9.806351,-2.035371
817.5275, 0.9448242,1.96991,1.968079,1.975403,1.972656,1.982117,-9.806351,-1.978808
823.7057, 0.6976318,1.972046,1.97052,1.979065,1.969604,1.973877,-9.806351,-2.064101
833.334, 0.9997559,1.968384,1.97113,1.981201,1.976318,1.978149,-9.806351,-2.054524
843.3288, 0.5053711,1.972961,1.968994,1.977539,1.973877,1.97052,-9.806351,-2.060809
853.3381, 0.5328369,1.968689,1.967468,1.976929,1.976318,1.97937,-9.806351,-2.00275
863.4225, 1.137085,1.977234,1.981812,1.983643,1.974182,1.966858,-9.806351,-2.080561
873.5436, 0.8074951,1.968994,1.972656,1.981506,1.973877,1.975708,-9.806351,-2.0231
883.31, 0.7800293,1.976624,1.973267,1.981812,1.966858,1.970215,-9.806351,-2.036867
893.3077, 0.4229736,1.96991,1.972656,1.981812,1.979065,1.973267,-9.806351,-2.029385
903.5534, 1.109619,1.972961,1.974182,1.982422,1.974792,1.968689,-9.806351,-1.982399
913.3299, 0.7800293,1.970825,1.977234,1.982727,1.974487,1.976013,-9.806351,-2.059014
923.3034, 0.1208496,1.964722,1.975403,1.982117,1.983032,1.972351,-9.806351,-2.001553
933.3457, 1.439209,1.968994,1.968384,1.978455,1.975403,1.97937,-9.806351,-2.020706
943.3117, 0.9448242,1.972961,1.964722,1.970825,1.970215,1.97876,-9.806351,-2.014122
953.3996, 1.137085,1.976624,1.971741,1.975098,1.964722,1.972046,-9.806351,-1.962048
963.3165, 1.192017,1.970825,1.968079,1.980286,1.974792,1.976624,-9.806351,-2.046444
973.3072, 0.06591797,1.972961,1.976624,1.984863,1.980286,1.973267,-9.806351,-2.001852
983.6688, 0.7525635,1.966553,1.977539,1.988525,1.978149,1.972046,-9.806351,-2.013524
993.3245, 0.4779053,1.968079,1.965637,1.975098,1.976929,1.979065,-9.806351,-2.002151
1003.523, 1.356812,1.971436,1.968689,1.976318,1.973267,1.975098,-9.806351,-1.941997
1013.439, 1.741333,1.975708,1.975098,1.977539,1.965942,1.96991,-9.806351,-2.030582
1023.308, 1.137085,1.976318,1.971436,1.975098,1.971436,1.973877,-9.806351,-1.975216
1033.704, 0.670166,1.967773,1.966858,1.975708,1.972961,1.983643,-9.806351,-2.001253
1043.308, 0.7800293,1.977539,1.977844,1.976929,1.967773,1.967163,-9.806351,-2.009035
1053.529, 0.3955078,1.965332,1.973267,1.97998,1.980591,1.97876,-9.806351,-1.955764
1063.784, 0.7250977,1.968384,1.966248,1.983643,1.978149,1.981201,-9.806351,-2.035371
1073.552, 1.054688,1.979065,1.976013,1.981201,1.967163,1.968689,-9.806351,-1.99018
1083.308, 0.8074951,1.966248,1.972351,1.985779,1.982727,1.975708,-9.806351,-2.000056
1093.478, 0.8349609,1.962891,1.968689,1.976318,1.97876,1.977844,-9.806351,-2.005443
1103.296, 1.411743,1.980591,1.981506,1.976013,1.968384,1.96991,-9.806351,-1.944391
1113.407, 1.274414,1.974182,1.978149,1.983032,1.971741,1.968994,-9.806351,-2.036268
1123.323, 0.4229736,1.971436,1.977234,1.980286,1.97937,1.975708,-9.806351,-1.981501
1133.323, 0.6976318,1.973267,1.975403,1.985474,1.973572,1.971436,-9.806351,-1.996764
1143.771, 0.9448242,1.967468,1.970215,1.979065,1.975403,1.973877,-9.806351,-1.993771
1153.674, 0.5053711,1.97052,1.974487,1.983643,1.976929,1.969299,-9.806351,-1.933916
1182.625, 1.411743,1.976318,1.970825,1.97876,1.970215,1.976013,-9.806351,-2.006341
1183.548, 0.5053711,1.97876,1.976318,1.978149,1.965332,1.966553,-9.806351,-1.97791
1193.354, 0.5603027,1.967773,1.971436,1.975708,1.975708,1.973572,-9.806351,-1.982399
1203.63, 1.521606,1.972961,1.97052,1.973267,1.973877,1.975708,-9.806351,-1.939603
1213.559, 1.027222,1.974792,1.976318,1.984253,1.974487,1.96991,-9.806351,-2.032677
1223.425, 0.3955078,1.963806,1.965637,1.980896,1.975098,1.97998,-9.806351,-1.978808
1233.34, 1.246948,1.981201,1.974792,1.981506,1.966553,1.97052,-9.806351,-1.991976
1243.649, 0.97229,1.975403,1.97052,1.977844,1.970825,1.97052,-9.806351,-1.999458
1253.702, 1.494141,1.966858,1.967773,1.972656,1.976013,1.981506,-9.806351,-1.93661
1263.588, 1.027222,1.972961,1.978455,1.983948,1.974487,1.969299,-9.806351,-2.03148
1273.722, 1.054688,1.976013,1.970215,1.976929,1.97052,1.976318,-9.806351,-1.971625
1283.317, 0.6152344,1.963806,1.865234,1.875,1.867676,1.903076,-9.806351,-1.995268
1310.763, 1.219482,1.974487,1.966858,1.971436,1.974792,1.976013,-9.806351,-2.00245
1313.311, -0.2362061,1.965332,1.96991,1.978455,1.980286,1.97937,-9.806351,-1.956063
1323.865, 0.6152344,1.972046,1.978455,1.984863,1.975098,1.966248,-9.806351,-1.993472
1333.882, 0.8898926,1.972351,1.977539,1.983948,1.975098,1.975403,-9.806351,-2.003947
1343.838, 1.274414,1.97876,1.972046,1.977539,1.968079,1.965637,-9.806351,-2.036867
1353.797, 0.5328369,1.974182,1.971436,1.975098,1.966858,1.975403,-9.806351,-1.984195
1363.736, 0.97229,1.973877,1.976013,1.980286,1.97113,1.969299,-9.806351,-2.050035
1373.34, 0.3955078,1.966248,1.96991,1.97998,1.981201,1.977844,-9.806351,-2.003049
1383.605, 1.549072,1.967773,1.970215,1.979065,1.975403,1.977234,-9.806351,-1.999159
1393.315, 1.192017,1.977844,1.980286,1.980286,1.969299,1.966248,-9.806351,-2.017714
1403.332, 1.63147,1.975403,1.976624,1.97113,1.970215,1.975708,-9.806351,-1.952771
1413.693, 0.8074951,1.967163,1.968994,1.982727,1.983337,1.979065,-9.806351,-2.044648
1423.331, 0.9997559,1.980896,1.977844,1.977844,1.968079,1.974182,-9.806351,-1.998261
1433.507, 1.054688,1.967773,1.966248,1.981201,1.978149,1.980286,-9.806351,-2.023699
1443.389, 0.6427002,1.976929,1.974792,1.980286,1.970215,1.966553,-9.806351,-2.035071
1453.306, 0.8349609,1.96991,1.967468,1.975708,1.975098,1.979065,-9.806351,-1.985392
1463.391, 1.164551,1.972961,1.972046,1.983948,1.974182,1.977234,-9.806351,-2.053327
1473.404, 0.8898926,1.979675,1.977539,1.977539,1.967163,1.96991,-9.806351,-2.004545
1483.3, 0.97229,1.972046,1.97113,1.976318,1.969299,1.97876,-9.806351,-2.026692
1493.427, 0.5053711,1.973572,1.968689,1.97876,1.975708,1.976318,-9.806351,-2.0234
1503.699, 0.670166,1.972656,1.973267,1.977844,1.975708,1.976624,-9.806351,-1.960851
1513.692, 1.054688,1.973877,1.979065,1.980286,1.977234,1.971741,-9.806351,-2.047042
1523.322, 0.9173584,1.976318,1.972046,1.979675,1.969299,1.974182,-9.806351,-2.009334
1548.316, 1.192017,1.974487,1.975098,1.984558,1.971741,1.973877,-9.806351,-2.038064
1553.323, 0.7800293,1.971436,1.969299,1.977844,1.971436,1.974487,-9.806351,-2.00694
1563.614, 1.411743,1.968384,1.971741,1.97937,1.975403,1.976013,-9.806351,-2.040458
1573.675, 0.1757813,1.967163,1.972046,1.981201,1.981812,1.974792,-9.806351,-2.001852
1583.72, 0.3955078,1.968994,1.972656,1.985779,1.980896,1.976013,-9.806351,-2.024297
1593.661, 0.6152344,1.972046,1.974792,1.976013,1.969604,1.967773,-9.806351,-2.016516
1603.305, 1.411743,1.977844,1.969299,1.975098,1.971741,1.973267,-9.806351,-1.971924
1613.474, 0.9997559,1.97113,1.965027,1.976318,1.975708,1.979675,-9.806351,-2.041057
1623.35, 0.01098633,1.969299,1.978149,1.984253,1.976929,1.97113,-9.806351,-2.016516
1633.325, 1.082153,1.975098,1.974182,1.97998,1.97113,1.976929,-9.806351,-2.026692
1643.654, 1.109619,1.968689,1.965332,1.969299,1.97113,1.977539,-9.806351,-2.030882
1653.495, 0.6152344,1.980286,1.978149,1.982422,1.967773,1.968689,-9.806351,-1.9818
1663.305, 1.329346,1.975098,1.972046,1.976929,1.97052,1.971436,-9.806351,-2.059014
1691.733, 0.3131104,1.965332,1.972961,1.981506,1.97876,1.972046,-9.806351,-2.025495
1693.32, 1.192017,1.978149,1.97052,1.976624,1.972961,1.974487,-9.806351,-1.977611
1703.638, 0.3405762,1.97113,1.969299,1.981506,1.977539,1.974487,-9.806351,-1.971326
1713.64, 1.246948,1.968384,1.968689,1.976929,1.977844,1.981201,-9.806351,-2.031181
1723.421, 0.8349609,1.976929,1.974182,1.97876,1.968079,1.971741,-9.806351,-2.001553
1733.721, 1.411743,1.97113,1.972961,1.976929,1.971436,1.972961,-9.806351,-2.030283
1743.325, 1.082153,1.973267,1.968079,1.972656,1.968689,1.975403,-9.806351,-2.037765
1753.458, 1.164551,1.974182,1.968689,1.971741,1.968384,1.970215,-9.806351,-1.974019
1763.843, 0.97229,1.976318,1.976624,1.985779,1.972046,1.974182,-9.806351,-2.064101
