RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
13.80088866,0.428971661,0.729679993,,,19.97506792,-1.002641761,0.69683343
,,,,,,,
25.20524431,-1.529179905,0.55443759,,,,,
,,,,,,,
12.87238679,0.483482341,0.791636108,,,,,
,,,,,,,
16.13744672,0.137652011,0.58154931,,,,,
,,,,,,,
38.4314883,-3.837819077,0.077313929,,,,,
,,,,,,,
11.76249594,0.33489341,0.766849663,,,,,
,,,,,,,
38.85211181,-6.715894275,0.685937763,,,,,
,,,,,,,
5.902910673,0.729907848,0.91386313,,,,,
,,,,,,,
23.61670366,-0.501808191,0.936032862,,,,,
,,,,,,,
13.16900235,0.443376562,0.931033949,,,,,
