RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
18.72161318,-4.598773795,0.38730816,,,26.62837464,-2.637683193,0.555790056
,,,,,,,
51.44114725,-8.820964681,0.095310553,,,,,
,,,,,,,
34.00924879,-1.802381562,0.043866886,,,,,
,,,,,,,
30.7623723,-2.569423199,0.958397361,,,,,
,,,,,,,
19.12656468,-0.128677013,0.701636508,,,,,
,,,,,,,
6.058489663,0.835996043,0.938970167,,,,,
,,,,,,,
29.72848007,-2.653299959,0.502243479,,,,,
,,,,,,,
12.02125145,0.291257478,0.864454483,,,,,
,,,,,,,
23.71902766,-1.667295101,0.49660877,,,,,
,,,,,,,
40.69555131,-5.263270143,0.569104192,,,,,
