RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
41.42700688,-2.825402778,0.939626575,,,33.34138072,-3.480269772,0.433959108
,,,,,,,
19.41051398,-1.039224757,0.464381558,,,,,
,,,,,,,
71.04736755,-15.19250812,0.261478506,,,,,
,,,,,,,
42.57980328,-4.00689593,0.347908351,,,,,
,,,,,,,
46.18944927,-4.929754038,0.231990702,,,,,
,,,,,,,
29.67684275,-2.273668752,-0.075553291,,,,,
,,,,,,,
33.43132408,-3.279290137,-0.202692788,,,,,
,,,,,,,
18.13791593,0.252794635,0.759424446,,,,,
,,,,,,,
10.8692973,0.653799168,0.893778506,,,,,
,,,,,,,
20.6442862,-2.162547011,0.719248517,,,,,
