Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
24.1025, -7.432251,1.994019,1.990967,1.994019,1.999512,1.991272,-9.806351,-2.100313
34.0718, -7.597046,1.990662,1.990967,1.994019,1.994629,1.988525,-9.806351,-2.001553
44.0679, -6.361084,1.994629,1.989136,1.98822,1.994934,1.990662,-9.806351,-2.112883
54.0514, -8.860474,1.997986,1.99707,1.985474,1.98822,1.984253,-9.806351,-2.041656
64.072, -7.706909,1.994019,1.989136,1.987915,1.994019,1.990051,-9.806351,-2.114679
74.0624, -6.965332,1.999512,1.995544,1.989746,1.993408,1.993713,-9.806351,-2.141913
84.0731, -6.855469,1.993408,1.948547,1.940002,1.942139,1.956787,-9.806351,-2.059612
94.0617, -6.498413,2.005005,1.993713,1.985168,1.990051,1.990051,-9.806351,-2.14311
104.0442, -7.047729,2.001953,1.989746,1.984253,1.990051,1.988525,-9.806351,-2.063503
114.0714, -6.608276,1.994019,1.989136,1.984253,1.991272,1.990356,-9.806351,-2.119467
124.0691, -7.789307,2.003174,1.99707,1.98822,1.997375,1.994629,-9.806351,-2.141015
134.0509, -6.71814,1.994629,1.990356,1.984863,1.993713,1.989746,-9.806351,-2.057517
144.101, -6.278687,1.990967,1.988831,1.988525,1.999207,1.99585,-9.806351,-2.162563
154.0617, -8.366089,1.99707,1.993713,1.990967,1.993713,1.986389,-9.806351,-2.047042
164.0354, -7.020264,1.999512,1.993713,1.990356,1.988525,1.980286,-9.806351,-2.107197
174.0689, -7.706909,1.996155,1.997681,1.991882,1.999817,1.997375,-9.806351,-2.096124
184.0742, -7.185059,1.995239,1.987305,1.983643,1.993713,1.990662,-9.806351,-2.033575
194.0379, -7.102661,1.996155,1.991882,1.990356,1.997986,1.994019,-9.806351,-2.153285
204.0516, -8.201294,1.997681,1.992798,1.985168,1.990967,1.991577,-9.806351,-2.054225
214.0451, -6.9104,1.998291,1.988831,1.985779,1.989746,1.989136,-9.806351,-2.115876
224.12, -7.597046,1.999817,1.998596,1.992188,1.993408,1.990051,-9.806351,-2.116474
234.0696, -7.212524,1.99646,1.989746,1.987305,1.988831,1.990051,-9.806351,-2.041955
244.0463, -7.487183,1.998596,2.000732,1.990662,1.994324,1.984863,-9.806351,-2.135628
254.0656, -7.954102,1.994019,1.992493,1.994019,1.994934,1.987305,-9.806351,-2.067393
264.067, -7.102661,2.003479,1.995239,1.986694,1.983948,1.981812,-9.806351,-2.136226
274.0714, -7.926636,1.993408,1.996155,1.99585,2.004395,1.995239,-9.806351,-2.166753
284.0701, -6.38855,1.994324,1.989136,1.984863,1.993408,1.988831,-9.806351,-2.084153
294.073, -6.745605,2.001038,1.99646,1.988525,1.989746,1.985779,-9.806351,-2.145803
304.0635, -8.503418,1.99646,1.995544,1.988831,1.991272,1.983948,-9.806351,-2.077569
314.0701, -6.470947,1.991272,1.990051,1.986694,1.993713,1.984863,-9.806351,-2.15119
324.0695, -7.789307,1.991577,1.995544,1.993713,2.0047,1.994324,-9.806351,-2.145205
334.035, -8.366089,1.996765,1.995544,1.990662,1.989136,1.980286,-9.806351,-2.068291
344.0707, -6.416016,2.001343,1.99646,1.986084,1.986694,1.985474,-9.806351,-2.120664
354.0739, -7.871704,1.998291,1.99585,1.98822,1.987915,1.985168,-9.806351,-2.018911
