Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
23.0955, 9.926147,1.999207,2.003174,1.994934,1.999817,1.994629,-9.806351,-6.42065
33.0814, 10.69519,2.002563,1.994019,1.981201,1.98761,1.98822,-9.806351,-6.316802
43.0715, 10.25574,1.994934,1.993103,1.989441,1.990662,1.983032,-9.806351,-6.384139
53.0616, 9.788818,2.001648,1.994019,1.989746,1.991882,1.993408,-9.806351,-6.415862
63.0679, 10.61279,2.004089,1.994019,1.98822,1.993103,1.987305,-9.806351,-6.394015
73.33459, 10.50293,2.001038,1.991577,1.990967,1.995544,1.997375,-9.806351,-6.493374
83.0543, 10.55786,1.999512,1.988525,1.987305,1.992798,1.989441,-9.806351,-6.373963
93.0348, 10.99731,2.002563,1.994019,1.986694,1.986694,1.980286,-9.806351,-6.455367
103.0958, 9.733887,1.997681,1.992493,1.987305,1.99585,1.99646,-9.806351,-6.36319
113.0363, 10.06348,1.995544,1.994019,1.994629,1.99646,1.985779,-9.806351,-6.314707
123.0463, 10.42053,2.004089,1.998291,1.988831,1.994324,1.990662,-9.806351,-6.401796
133.061, 9.84375,1.994019,1.993713,1.988831,1.993713,1.989746,-9.806351,-6.268619
143.0529, 11.02478,2.003174,1.989441,1.983643,1.980591,1.986084,-9.806351,-6.353613
153.4967, 10.00854,1.990356,1.994934,1.992188,2.001038,1.991882,-9.806351,-6.357503
163.1074, 10.25574,2.00592,1.996155,1.992798,1.990662,1.98761,-9.806351,-6.319496
173.053, 10.61279,2.001343,1.993713,1.987,1.994934,1.994629,-9.806351,-6.401796
183.0558, 10.50293,2.000122,1.997681,1.987305,1.987305,1.985779,-9.806351,-6.276699
193.0334, 10.448,1.992798,1.987915,1.984863,1.991577,1.991272,-9.806351,-6.334459
203.052, 9.18457,1.996155,1.998596,1.994629,2.001343,1.991272,-9.806351,-6.345532
213.0473, 10.47546,1.997986,1.990967,1.988525,1.994324,1.994629,-9.806351,-6.311116
223.0294, 10.33813,2.00531,1.995544,1.988831,1.994934,1.993408,-9.806351,-6.357204
233.5814, 10.31067,2.002563,1.993408,1.985779,1.985474,1.983948,-9.806351,-6.187814
243.0273, 10.20081,1.994934,1.991882,1.987305,1.993713,1.983032,-9.806351,-6.225822
253.0469, 9.541626,1.99646,1.990356,1.989746,1.999817,1.997986,-9.806351,-6.169259
263.0454, 10.00854,1.996155,1.997986,1.994019,1.995544,1.986084,-9.806351,-6.105813
273.0548, 10.20081,1.993408,1.990967,1.992798,2.000427,1.997681,-9.806351,-6.177639
283.0561, 9.898682,1.998291,1.994629,1.989441,1.994629,1.983643,-9.806351,-6.026206
293.0305, 10.5304,2.002563,1.994629,1.98761,1.990356,1.977539,-9.806351,-6.058527
303.0573, 10.31067,2.001648,1.994934,1.987915,1.992798,1.991577,-9.806351,-6.024111
313.0553, 10.72266,2.000732,1.991577,1.986084,1.99707,1.992493,-9.806351,-5.967248
323.3062, 10.31067,1.99707,1.994934,1.991272,2.000732,1.994019,-9.806351,-5.982512
333.0585, 9.926147,1.994629,1.989441,1.986694,1.992188,1.992798,-9.806351,-5.831677
343.0393, 10.33813,1.996155,1.98822,1.985168,1.993713,1.987,-9.806351,-5.869386
