Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
23.8163, 7.1521,1.997375,1.997986,1.994019,2.003479,1.99585,-9.806351,-2.464232
33.8114, 7.976074,1.999207,1.99707,1.993713,1.995239,1.987,-9.806351,-2.475904
43.8084, 8.33313,1.999207,1.994629,1.990356,1.997681,1.997681,-9.806351,-2.505532
53.8044, 7.921143,1.990356,1.988831,1.98761,1.995239,1.993408,-9.806351,-2.441188
63.8444, 8.66272,1.99585,1.994019,1.990051,1.999817,1.992493,-9.806351,-2.529175
73.7878, 7.1521,2.001953,1.997986,1.987305,1.989746,1.986084,-9.806351,-2.475605
83.7946, 7.976074,2.000427,1.996765,1.993103,1.994324,1.982727,-9.806351,-2.531569
93.83051, 7.866211,1.998596,1.996155,1.994324,1.999512,1.994934,-9.806351,-2.576161
103.8013, 7.866211,1.998291,2.000427,1.988831,1.992188,1.986694,-9.806351,-2.497152
113.7818, 8.525391,2.000427,1.992493,1.986084,1.990967,1.994019,-9.806351,-2.579752
123.7746, 7.207031,2.004089,1.998596,1.987915,1.990967,1.983337,-9.806351,-2.505831
133.796, 8.690186,2.004395,1.990051,1.986389,1.987915,1.989746,-9.806351,-2.556708
143.7768, 8.635254,2.007446,1.99707,1.988831,1.995239,1.996765,-9.806351,-2.588431
153.866, 7.728882,2.006836,1.998901,1.991882,1.991577,1.983337,-9.806351,-2.544438
163.7798, 8.690186,2.001343,1.991577,1.987305,1.989441,1.98761,-9.806351,-2.601899
173.7865, 6.987305,1.998901,1.99646,1.989746,1.997681,1.986694,-9.806351,-2.569278
183.7769, 8.388062,1.994019,1.990662,1.990967,1.99646,1.991272,-9.806351,-2.617461
193.7727, 7.948608,1.99646,1.995239,1.992188,2.003174,1.99646,-9.806351,-2.687791
203.768, 7.756348,1.995239,1.99585,1.992188,2.001038,1.989136,-9.806351,-2.621651
213.7804, 8.717651,1.998596,1.991577,1.984253,1.994019,1.993103,-9.806351,-2.668637
223.7657, 7.097168,2.002869,1.99707,1.990967,1.990967,1.983643,-9.806351,-2.615665
233.7717, 8.195801,1.997986,1.99707,1.990662,1.996155,1.984558,-9.806351,-2.693776
243.7715, 7.564087,1.991577,1.999817,1.99646,2.004395,1.992798,-9.806351,-2.755726
253.7963, 8.113403,2.001648,1.999817,1.990967,1.990662,1.981201,-9.806351,-2.670134
263.8014, 8.85498,2.003479,1.995239,1.984863,1.993103,1.989441,-9.806351,-2.729091
273.7867, 8.031006,2.000732,1.989441,1.989441,1.99707,1.991577,-9.806351,-2.648286
283.7665, 8.00354,1.998596,1.99646,1.995239,1.994629,1.984863,-9.806351,-2.704849
293.7654, 7.646484,1.992493,1.99707,1.996155,2.006226,1.998291,-9.806351,-2.785055
303.796, 8.607788,1.994324,1.991272,1.986389,1.994629,1.989136,-9.806351,-2.695871
313.772, 8.580322,2.001953,1.992188,1.98761,1.992798,1.990356,-9.806351,-2.747945
338.3808, 8.113403,2.001953,1.990967,1.984863,1.990662,1.990356,-9.806351,-2.695273
343.7674, 8.909912,1.997375,1.989746,1.983643,1.991577,1.990051,-9.806351,-2.837728
353.785, 7.976074,1.997681,1.997375,1.993103,2.000122,1.987915,-9.806351,-2.750938
363.7708, 8.827515,1.995544,1.990662,1.983948,1.99585,1.992493,-9.806351,-2.836231
373.7867, 7.646484,1.999207,1.988831,1.985474,1.994934,1.993713,-9.806351,-2.770989
383.7675, 8.552856,1.993408,1.991882,1.987305,1.994019,1.990967,-9.806351,-2.823063
393.769, 8.031006,2.001953,2.008972,1.994019,2.000732,1.987915,-9.806351,-2.874538
403.7616, 7.399292,1.99707,1.991272,1.988525,1.999512,1.988525,-9.806351,-2.814683
413.7657, 8.33313,1.994019,1.993408,1.989746,2.000122,1.991577,-9.806351,-2.874239
423.7851, 7.948608,2.0047,1.996155,1.984863,1.990356,1.986694,-9.806351,-2.749142
433.7798, 8.635254,2.004395,1.99646,1.987915,1.98822,1.982422,-9.806351,-2.813187
443.7688, 8.388062,2.00531,1.996155,1.991577,1.997681,1.997986,-9.806351,-2.829947
453.7894, 8.058472,2.002869,2.002563,1.993713,1.990662,1.981812,-9.806351,-2.771588
463.7706, 8.442993,2.001038,1.988525,1.990356,1.997681,1.991577,-9.806351,-2.840122
473.7889, 8.031006,1.999512,1.992188,1.98761,1.989746,1.992188,-9.806351,-2.755128
483.7654, 8.85498,1.998596,1.922913,1.923218,1.925049,1.934509,-9.806351,-2.818873
493.8016, 7.536621,2.000427,2.00531,1.993103,1.996765,1.989441,-9.806351,-2.888604
503.7678, 8.360596,1.999817,2.001038,1.991272,1.989441,1.985474,-9.806351,-2.829647
513.7772, 8.85498,2.003479,1.994324,1.989746,1.993103,1.989136,-9.806351,-2.900575
523.7932, 6.932373,1.995239,1.995239,1.987915,1.99585,1.987,-9.806351,-2.85329
533.768, 8.085938,2.004395,1.99707,1.98761,1.988831,1.985474,-9.806351,-2.91524
543.7733, 7.207031,2.002258,1.997681,1.997681,2.002258,1.991577,-9.806351,-3.001132
553.7707, 8.113403,1.994324,1.994324,1.989136,1.998291,1.992798,-9.806351,-2.947262
563.7613, 8.607788,2.003784,1.995239,1.986389,1.989136,1.985779,-9.806351,-2.999635
573.769, 7.646484,2.006226,1.99585,1.989136,1.989136,1.984863,-9.806351,-2.936189
583.7865, 8.442993,1.997375,1.988525,1.985168,1.99585,1.989441,-9.806351,-3.01849
593.7822, 8.058472,1.995544,1.994019,1.993103,2.002563,1.996155,-9.806351,-3.123835
603.7547, 7.67395,2.002869,1.997681,1.991272,1.99585,1.987915,-9.806351,-3.066673
613.7669, 7.976074,1.998291,1.993408,1.992493,1.994629,1.990356,-9.806351,-3.116652
623.7864, 6.740112,1.999207,1.990356,1.982422,1.990967,1.989136,-9.806351,-3.062783
633.771, 8.058472,2.003784,1.994324,1.983032,1.992188,1.988525,-9.806351,-3.155259
643.785, 6.547852,1.999817,2.005005,1.996155,1.994934,1.991272,-9.806351,-3.255217
653.7748, 6.932373,1.998596,1.993408,1.985474,1.990356,1.988525,-9.806351,-3.182493
663.7823, 6.767578,2.000122,1.998901,1.993408,1.992188,1.983032,-9.806351,-3.210026
673.8089, 5.668945,2.003784,1.994934,1.987305,1.989746,1.987915,-9.806351,-3.136703
683.7603, 6.135864,1.999512,1.989441,1.987305,1.993408,1.994019,-9.806351,-3.216311
693.7864, 5.174561,2.008972,2.001343,1.992188,1.994324,1.992188,-9.806351,-3.330634
703.786, 5.092163,1.999512,1.994629,1.983643,1.991577,1.988831,-9.806351,-3.272275
713.7655, 5.009766,1.994934,1.990356,1.989746,1.997986,1.991882,-9.806351,-3.325546
723.8335, 4.295654,2.001953,1.98822,1.983337,1.988831,1.990662,-9.806351,-3.266888
733.7604, 4.625244,2.006531,1.99585,1.983032,1.989136,1.982727,-9.806351,-3.320758
743.7914, 3.99353,2.005005,1.997986,1.990051,1.995239,1.992798,-9.806351,-3.426402
753.757, 3.251953,2.001038,1.992493,1.987915,1.990051,1.98822,-9.806351,-3.350685
763.7601, 2.867432,1.996765,1.99707,1.993103,2.000732,1.990662,-9.806351,-3.380314
773.7861, 2.098389,2.002258,1.98761,1.982727,1.990967,1.994019,-9.806351,-3.320159
783.7604, 1.933594,1.999512,1.995544,1.990662,1.990356,1.984558,-9.806351,-3.384803
793.7856, 1.246948,2.002563,1.999817,1.993103,1.996765,1.994629,-9.806351,-3.412336
803.783, 0.3955078,1.998596,1.993408,1.995239,1.995544,1.98761,-9.806351,-3.314174
813.7622, 0.3131104,2.004089,1.99707,1.990662,1.990662,1.98822,-9.806351,-3.344101
823.7881, -1.389771,1.994629,1.993103,1.990051,1.999512,1.988831,-9.806351,-3.272275
833.7853, -0.6481934,1.994934,1.994324,1.986389,1.991272,1.990662,-9.806351,-3.349488
843.7764, -2.131348,2.005005,1.998596,1.989136,1.99707,1.998901,-9.806351,-3.467103
853.7879, -2.515869,1.995544,1.992188,1.987305,1.993408,1.991882,-9.806351,-3.385401
863.7527, -2.900391,1.998901,1.998596,1.992798,1.997986,1.98822,-9.806351,-3.449446
873.7859, -4.795532,1.990967,1.992798,1.985474,1.99707,1.989441,-9.806351,-3.370737
883.791, -4.163818,1.991577,1.992798,1.986084,1.994629,1.990051,-9.806351,-3.460819
893.7556, -6.251221,2.004395,2.003174,1.994019,1.994934,1.991882,-9.806351,-3.471892
903.7563, -6.113892,2.000732,1.99707,1.990356,1.993408,1.983948,-9.806351,-3.383007
913.7846, -6.525879,2.0047,1.995239,1.987,1.989136,1.989136,-9.806351,-3.41473
923.7708, -8.118896,2.002563,1.996765,1.985474,1.988831,1.98822,-9.806351,-3.373131
933.7631, -8.173828,1.994019,1.994934,1.989136,1.994934,1.987,-9.806351,-3.468301
943.7896, -9.354858,1.997681,2.002258,1.994019,2.002563,1.995544,-9.806351,-3.556587
953.7596, -9.931641,1.997986,1.995239,1.996155,1.986389,1.983337,-9.806351,-3.473388
963.786, -9.684448,1.999207,1.988525,1.98761,1.993713,1.994629,-9.806351,-3.509301
973.7608, -10.89294,2.000427,1.988525,1.983643,1.990967,1.98822,-9.806351,-3.467103
983.7658, -10.89294,2.001038,1.919861,1.91803,1.921387,1.93573,-9.806351,-3.582324
