Time,Gonio
10.0,8.635254
20.0,8.635254
30.0,8.378906333333333
40.0,8.122558666666666
50.0,7.866211
60.0,7.646484
70.0,8.470459
80.0,7.509155
90.0,7.67395
100.0,8.031006
110.0,6.795044
120.0,8.33313
130.0,7.701416
140.0,9.047241
150.0,8.388062
160.0,7.783813
170.0,8.525391
180.0,7.316895
190.0,7.921143
200.0,8.195801
210.0,7.646484
220.0,8.580322
230.0,7.591553
240.0,8.031006
250.0,7.921143
260.0,8.525391
270.0,8.85498
280.0,7.591553
290.0,8.717651
300.0,7.728882
310.0,8.250732
320.0,8.250732
330.0,7.454224
340.0,8.497925
350.0,8.580322
360.0,7.371826
370.0,8.827515
380.0,7.014771
390.0,8.99231
400.0,9.431763
410.0,8.00354
420.0,8.058472
430.0,7.728882
440.0,7.838745
450.0,8.33313
460.0,8.168335
470.0,7.316895
480.0,7.67395
490.0,7.756348
500.0,7.591553
510.0,7.701416
520.0,7.646484
530.0,6.959839
540.0,7.921143
550.0,8.168335
560.0,6.795044
570.0,7.042236
580.0,6.383057
590.0,5.806274
600.0,6.547852
610.0,6.602783
620.0,6.190796
630.0,4.9823
640.0,5.009766
650.0,4.487915
660.0,4.158325
670.0,4.487915
680.0,3.526611
690.0,4.103394
700.0,3.938599
710.0,2.675171
720.0,3.581543
730.0,2.290649
740.0,2.290649
750.0,2.949829
760.0,2.537842
770.0,2.949829
780.0,1.219482
790.0,1.384277
800.0,1.109619
810.0,1.30188
820.0,1.219482
830.0,0.2032471
840.0,0.9997559
850.0,1.109619
860.0,0.7525635
870.0,0.5603027
880.0,0.368042
890.0,0.5877686
900.0,0.2856445
910.0,-0.01647949
920.0,-0.401001
930.0,-1.19751
940.0,-0.8953857
950.0,-1.691895
960.0,-1.801758
970.0,-1.582031
980.0,-2.570801
990.0,-3.22998
1000.0,-1.774292
1010.0,-3.202515
1020.0,-3.422241
1030.0,-4.356079
1040.0,-6.306152
1050.0,-4.658203
1060.0,-4.960327
1070.0,-5.042725
1080.0,-5.592041
1090.0,-5.07019
1100.0,-6.196289
1110.0,-6.38855
1120.0,-5.646973
1130.0,-7.075195
1140.0,-6.498413
1150.0,-5.811768
1160.0,-7.377319
1170.0,-7.185059
1180.0,-8.311157
1190.0,-8.805542
1200.0,-8.256226
1210.0,-8.942871
1220.0,-8.75061
1230.0,-9.464722
1240.0,-8.393555
1250.0,-9.904175
1260.0,-9.40979
1270.0,-9.464722
1280.0,-10.42603
1290.0,-10.37109
1300.0,-10.89294
1310.0,-11.90918
1320.0,-10.78308
1330.0,-11.22253
1340.0,-11.63452
1350.0,-10.97534
1360.0,-11.90918
1370.0,-12.78809
1380.0,-11.90918
1390.0,-12.54089
1400.0,-12.76062
1410.0,-14.05151
1420.0,-12.51343
1430.0,-13.55713
1440.0,-13.61206
1450.0,-14.07898
1460.0,-14.32617
1470.0,-13.96912
1480.0,-14.76563
1490.0,-15.01282
1500.0,-15.45227
1510.0,-15.94666
1520.0,-15.17761
1530.0,-16.08398
1540.0,-15.61707
1550.0,-15.75439
1560.0,-17.18262
1570.0,-17.40234
1580.0,-16.99036
1590.0,-17.53967
1600.0,-17.07275
1610.0,-17.677
1620.0,-18.36365
1630.0,-18.83057
1640.0,-18.55591
1650.0,-18.58337
1660.0,-19.32495
1670.0,-18.91296
1680.0,-19.13269
1690.0,-18.47351
1700.0,-19.8468
1710.0,-20.69824
1720.0,-19.65454
1730.0,-20.69824
1740.0,-20.75317
1750.0,-20.25879
1760.0,-21.27502
1770.0,-21.0553
1780.0,-21.52222
1790.0,-21.1377
1800.0,-21.79688
1810.0,-21.02783
1820.0,-21.90674
1830.0,-22.67578
1840.0,-22.70325
1850.0,-21.87927
1860.0,-22.62085
1870.0,-22.67578
1880.0,-23.00537
1890.0,-22.1814
1900.0,-23.19763
1910.0,-24.46106
1920.0,-23.58215
