RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
8.935098276,0.728482708,0.959238946,,,14.59575181,0.159842828,0.795633033
,,,,,,,
13.82428042,0.183766182,0.55225311,,,,,
,,,,,,,
13.64057695,0.119099582,0.648739183,,,,,
,,,,,,,
6.04950626,0.859554683,0.955585431,,,,,
,,,,,,,
13.46735177,0.447746521,0.849516352,,,,,
,,,,,,,
8.42594075,0.785627386,0.895217979,,,,,
,,,,,,,
20.78843413,-0.487400464,0.836025316,,,,,
,,,,,,,
25.70149096,-0.472209528,0.602142753,,,,,
,,,,,,,
24.13934979,-1.09419545,0.761038208,,,,,
,,,,,,,
10.9854888,0.527956664,0.896573053,,,,,
