DataTypeVer2.0,Time,RawData
NumberOfData,,360
PreTriggerData,,0
SamplingTime[ms],,100.000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,0,3.66122
,0.1,2.52413
,0.2,3.33163
,0.3,2.15059
,0.4,3.39755
,0.5,2.57357
,0.6,0.87068
,0.7,-1.09039
,0.8,-4.02926
,0.9,-8.00634
,1,-9.06653
,1.1,-13.126
,1.2,-17.0646
,1.3,-20.1134
,1.4,-25.1286
,1.5,-25.645
,1.6,-26.1779
,1.7,-29.3694
,1.8,-27.3699
,1.9,-25.7439
,2,-26.0845
,2.1,-25.0627
,2.2,-23.1511
,2.3,-19.4597
,2.4,-17.6249
,2.5,-14.2027
,2.6,-11.5879
,2.7,-8.05028
,2.8,-3.79305
,2.9,-1.45295
,3,-0.10162
,3.1,1.56831
,3.2,1.30464
,3.3,4.71591
,3.4,5.41356
,3.5,4.41379
,3.6,4.34787
,3.7,0.73334
,3.8,-4.02377
,3.9,-10.8793
,4,-14.0763
,4.1,-19.1685
,4.2,-22.2832
,4.3,-24.008
,4.4,-27.9522
,4.5,-29.3749
,4.6,-30.9514
,4.7,-32.7807
,4.8,-32.951
,4.9,-36.192
,5,-34.4341
,5.1,-31.9842
,5.2,-28.5399
,5.3,-25.7054
,5.4,-19.9156
,5.5,-16.8669
,5.6,-12.9337
,5.7,-8.48974
,5.8,-3.43051
,5.9,-2.66146
,6,0.26642
,6.1,0.65094
,6.2,1.11238
,6.3,4.5676
,6.4,5.3696
,6.5,5.84202
,6.6,3.8425
,6.7,1.409
,6.8,-2.71639
,6.9,-7.11095
,7,-10.9891
,7.1,-15.1145
,7.2,-21.245
,7.3,-25.7823
,7.4,-29.3749
,7.5,-31.8413
,7.6,-31.8853
,7.7,-32.9455
,7.8,-35.368
,7.9,-36.4282
,8,-32.0666
,8.1,-30.8965
,8.2,-26.0515
,8.3,-24.0355
,8.4,-19.5146
,8.5,-13.6039
,8.6,-12.1262
,8.7,-9.83558
,8.8,-6.80883
,8.9,-4.57859
,9,-1.4914
,9.1,-1.39253
,9.2,0.49714
,9.3,2.0627
,9.4,4.66098
,9.5,3.1119
,9.6,3.39755
,9.7,3.21078
,9.8,0.22248
,9.9,-2.55708
,10,-6.84178
,10.1,-11.89
,10.2,-15.4771
,10.3,-20.6022
,10.4,-23.5741
,10.5,-24.2497
,10.6,-29.8638
,10.7,-30.9075
,10.8,-32.0611
,10.9,-33.775
,11,-34.9505
,11.1,-33.8573
,11.2,-29.688
,11.3,-28.3257
,11.4,-23.3324
,11.5,-19.5146
,11.6,-15.12
,11.7,-9.896
,11.8,-6.04526
,11.9,-3.84799
,12,-0.51361
,12.1,0.32684
,12.2,0.88716
,12.3,3.45797
,12.4,4.36985
,12.5,2.9471
,12.6,-4.29843
,12.7,-13.0875
,12.8,-19.7398
,12.9,-27.7874
,13,-29.6166
,13.1,-32.484
,13.2,-36.9775
,13.3,-42.3114
,13.4,-43.3166
,13.5,-46.8597
,13.6,-48.6945
,13.7,-48.6121
,13.8,-50.5237
,13.9,-51.7652
,14,-50.4853
,14.1,-48.6505
,14.2,-45.1953
,14.3,-35.8349
,14.4,-32.105
