DataTypeVer2.0,Time,RawData
NumberOfData,,360
PreTriggerData,,0
SamplingTime[ms],,100.000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,29.4,-12.5053
,29.5,-9.30822
,29.6,-5.2872
,29.7,-5.02352
,29.8,-0.14007
,29.9,0.89815
,30,1.51338
,30.1,3.24924
,30.2,2.10664
,30.3,2.91964
,30.4,2.07369
,30.5,-0.1236
,30.6,-2.25496
,30.7,-2.35383
,30.8,-6.92418
,30.9,-5.90245
,31,-9.29725
,31.1,-9.69824
,31.2,-10.72
,31.3,-11.2748
,31.4,-11.89
,31.5,-12.346
,31.6,-11.4945
,31.7,-10.1981
,31.8,-11.5494
,31.9,-10.5497
,32,-8.97315
,32.1,-7.09447
,32.2,-6.11119
,32.3,-3.85897
,32.4,-2.8592
,32.5,1.46944
,32.6,0.64545
,32.7,2.66696
,32.8,4.42478
,32.9,3.85348
,33,3.65573
,33.1,4.54563
,33.2,4.49069
,33.3,4.61154
,33.4,-0.24445
,33.5,-5.50144
,33.6,-12.8733
,33.7,-18.6851
,33.8,-25.3374
,33.9,-28.4301
,34,-32.929
,34.1,-37.6586
,34.2,-40.6744
,34.3,-45.3546
,34.4,-47.5903
,34.5,-49.7162
,34.6,-51.0016
,34.7,-50.9192
,34.8,-51.3532
,34.9,-47.5629
,35,-45.6458
,35.1,-41.5094
,35.2,-37.5048
,35.3,-31.9073
,35.4,-27.3973
,35.5,-21.5361
,35.6,-18.8884
,35.7,-14.0269
,35.8,-12.1976
,35.9,-8.66552
