DataTypeVer2.0,Time,RawData
NumberOfData,,360
PreTriggerData,,0
SamplingTime[ms],,100.000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,0,2.99655
,0.1,8.245e-3
,0.2,2.23298
,0.3,2.56807
,0.4,1.61225
,0.5,1.16181
,0.6,-0.32136
,0.7,1.46944
,0.8,1.09589
,0.9,-1.28815
,1,-0.9311
,1.1,-1.47492
,1.2,-1.26069
,1.3,-2.06819
,1.4,-3.04049
,1.5,-3.27669
,1.6,-5.98485
,1.7,-6.38035
,1.8,-8.36889
,1.9,-7.28124
,2,-10.4838
,2.1,-11.5165
,2.2,-14.8948
,2.3,-16.9877
,2.4,-18.7016
,2.5,-23.3818
,2.6,-27.0952
,2.7,-28.4356
,2.8,-27.1941
,2.9,-20.3935
,3,-20.0969
,3.1,-18.5588
,3.2,-14.6751
,3.3,-10.0004
,3.4,-6.93517
,3.5,-4.58407
,3.6,-2.28243
,3.7,-0.57953
,3.8,-0.75532
,3.9,1.67817
,4,2.09566
,4.1,-0.48615
,4.2,-3.44698
,4.3,-5.92991
,4.4,-11.6154
,4.5,-16.3011
,4.6,-19.0751
,4.7,-24.854
,4.8,-28.9025
,4.9,-32.3247
,5,-35.0164
,5.1,-38.9166
,5.2,-42.4817
,5.3,-45.1788
,5.4,-49.8206
,5.5,-51.518
,5.6,-54.5502
,5.7,-50.683
,5.8,-45.8874
,5.9,-37.796
,6,-34.1265
,6.1,-32.0611
,6.2,-25.8483
,6.3,-21.0417
,6.4,-17.0756
,6.5,-11.5165
,6.6,-6.96263
,6.7,-4.38631
,6.8,0.1291
,6.9,1.72213
,7,0.84321
,7.1,2.01876
,7.2,5.32017
,7.3,6.86925
,7.4,5.68272
,7.5,4.38083
,7.6,1.43647
,7.7,0.03571
,7.8,-3.09542
,7.9,-5.68821
,8,-7.40758
,8.1,-10.0223
,8.2,-12.0493
,8.3,-14.9882
,8.4,-18.35
,8.5,-19.7783
,8.6,-19.987
,8.7,-23.1511
,8.8,-22.3546
,8.9,-23.272
,9,-25.1781
,9.1,-22.1294
,9.2,-18.8719
,9.3,-14.2521
,9.4,-9.93445
,9.5,-6.14414
,9.6,-4.75986
,9.7,-1.98029
,9.8,-1.24421
,9.9,0.83771
,10,4.42478
,10.1,5.33665
,10.2,5.25974
,10.3,5.51243
,10.4,5.94639
,10.5,5.07298
,10.6,3.72714
,10.7,1.05744
,10.8,1.38154
,10.9,-1.84847
,11,-1.79352
,11.1,-3.46895
,11.2,-6.72642
,11.3,-5.73764
,11.4,-7.78661
,11.5,-9.87402
,11.6,-12.2196
,11.7,-13.3622
,11.8,-16.2406
,11.9,-15.6034
,12,-15.1475
,12.1,-13.0491
,12.2,-10.2421
,12.3,-8.31945
,12.4,-6.3419
,12.5,-3.8315
,12.6,5.7675e-2
,12.7,-1.32112
,12.8,3.26021
,12.9,4.13364
,13,4.69944
,13.1,5.50694
,13.2,6.2595
,13.3,8.56116
,13.4,3.19979
,13.5,0.90912
,13.6,-4.12814
,13.7,-7.20433
,13.8,-9.7367
,13.9,-15.0047
,14,-17.4821
,14.1,-18.9543
,14.2,-23.7169
,14.3,-25.7933
