DataTypeVer2.0,Time,RawData
NumberOfData,,360
PreTriggerData,,0
SamplingTime[ms],,100.000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,0,3.47445
,0.1,1.71663
,0.2,2.3813
,0.3,1.22224
,0.4,1.71663
,0.5,1.7331
,0.6,-0.90363
,0.7,-4.05673
,0.8,-9.19836
,0.9,-14.1422
,1,-19.4871
,1.1,-26.3152
,1.2,-30.9295
,1.3,-35.9557
,1.4,-39.8889
,1.5,-42.6575
,1.6,-46.4752
,1.7,-50.293
,1.8,-54.2426
,1.9,-55.8576
,2,-57.599
,2.1,-55.3797
,2.2,-50.9247
,2.3,-45.5853
,2.4,-40.4602
,2.5,-34.7143
,2.6,-32.6983
,2.7,-27.0623
,2.8,-19.7398
,2.9,-17.6689
,3,-13.6534
,3.1,-9.60485
,3.2,-3.15584
,3.3,0.24995
,3.4,2.83724
,3.5,4.21055
,3.6,5.24326
,3.7,3.83151
,3.8,1.90888
,3.9,0.49165
,4,-1.69465
,4.1,-4.74338
,4.2,-4.54013
,4.3,-4.50717
,4.4,-6.36388
,4.5,-9.98939
,4.6,-12.4943
,4.7,-14.2192
,4.8,-13.9829
,4.9,-14.9937
,5,-15.12
,5.1,-14.1752
,5.2,-13.6643
,5.3,-11.0825
,5.4,-9.63232
,5.5,-9.49499
,5.6,-7.59984
,5.7,-6.05625
,5.8,-3.32613
,5.9,-2.50764
,6,-2.01326
,6.1,1.15082
,6.2,2.24947
,6.3,2.23848
,6.4,2.26045
,6.5,2.23848
,6.6,-1.15631
,6.7,-5.6113
,6.8,-11.9944
,6.9,-18.1962
,7,-25.1122
,7.1,-30.0286
,7.2,-37.3016
,7.3,-42.8003
,7.4,-47.6618
,7.5,-48.6176
,7.6,-52.2815
,7.7,-55.2369
,7.8,-57.187
,7.9,-57.9066
,8,-57.9121
,8.1,-52.1882
,8.2,-45.5689
,8.3,-37.2851
,8.4,-28.2653
,8.5,-23.8597
,8.6,-15.7573
,8.7,-10.1652
,8.8,-6.79234
,8.9,-2.06819
,9,-1.23871
,9.1,-0.42572
,9.2,2.72189
,9.3,2.26045
,9.4,2.69991
,9.5,3.43051
,9.6,2.91964
,9.7,-0.34332
,9.8,0.21149
,9.9,-2.16706
,10,-4.03475
,10.1,-6.84178
,10.2,-8.84679
,10.3,-8.90723
,10.4,-11.8406
,10.5,-14.0324
,10.6,-15.4661
,10.7,-16.2846
,10.8,-15.521
,10.9,-16.389
,11,-15.6584
,11.1,-14.5323
,11.2,-11.4231
,11.3,-10.7914
,11.4,-7.49547
,11.5,-6.91869
,11.6,-5.22128
,11.7,-4.92465
,11.8,-1.59027
,11.9,-2.57356
,12,0.44221
,12.1,1.41999
,12.2,1.71663
,12.3,2.83175
,12.4,4.17209
,12.5,3.98532
,12.6,4.18308
,12.7,1.89791
,12.8,-4.7269
,12.9,-14.2246
,13,-21.981
,13.1,-29.6111
,13.2,-34.544
,13.3,-40.224
,13.4,-45.5579
,13.5,-49.3207
,13.6,-52.5123
,13.7,-54.9348
,13.8,-56.6267
,13.9,-56.9892
,14,-60.9993
,14.1,-57.4177
,14.2,-49.9579
,14.3,-40.0152
